Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
6.0,18-02-2011,1572117.54,,59.61,3.045,214.7775231,6.858
13.0,25-03-2011,1807545.43,0.0,42.38,3.435,128.6160645,7.47
17.0,27-07-2012,,0.0,,,130.7195806,5.936
11.0,,1244390.03,0.0,84.57,,214.55649680000005,7.346
6.0,28-05-2010,1644470.66,0.0,78.89,2.759,212.412888,7.0920000000000005
4.0,28-05-2010,1857533.7,0.0,,2.756,126.1602258,7.896
15.0,03-06-2011,695396.19,0.0,69.8,4.069,134.85516130000002,7.657999999999999
20.0,03-02-2012,2203523.2,0.0,39.93,3.617,213.0236225,6.961
14.0,10-12-2010,2600519.26,0.0,30.54,3.109,,
3.0,,418925.47,0.0,60.12,3.555,224.1320199,6.832999999999998
8.0,19-08-2011,895066.5,0.0,82.92,3.554,219.07019680000005,6.425
18.0,15-10-2010,1029618.1,0.0,52.02,2.878,132.7633548,9.331
7.0,13-05-2011,414094.05,0.0,36.61,3.767,192.826069,8.595
1.0,16-03-2012,1677472.78,0.0,64.74,3.734,221.2118132,7.348
17.0,01-10-2010,829207.27,0.0,60.07,2.853,126.2346,6.885
6.0,30-04-2010,1498080.16,,68.91,2.78,211.8942725,7.0920000000000005
13.0,20-08-2010,1997397.63,0.0,76.34,2.85,,7.951
18.0,,1205307.5,0.0,21.33,2.7880000000000003,131.52790320000003,9.202
2.0,16-12-2011,2432736.52,0.0,50.13,,,7.441
3.0,18-05-2012,,0.0,72.38,3.63,225.2512024,6.664
7.0,02-04-2010,561145.14,0.0,38.26,2.725,189.7048215,8.963
5.0,13-05-2011,290930.01,0.0,77.38,3.899,216.5343611,6.489
18.0,12-10-2012,1074079.0,0.0,50.97,4.029,138.9117,8.243
19.0,26-03-2010,1427023.45,0.0,39.07,2.963,131.863129,8.35
19.0,04-05-2012,1405007.44,0.0,50.76,4.124,138.0332,8.15
17.0,12-10-2012,919878.34,0.0,44.82,3.797,131.1083333,5.527
3.0,13-01-2012,367438.62,0.0,51.86,3.261,,6.832999999999998
16.0,20-05-2011,435397.19,0.0,43.95,3.828,192.831317,6.339
17.0,16-04-2010,757738.76,0.0,45.22,2.915,126.5621,6.635
6.0,26-08-2011,1420405.41,0.0,,3.523,217.2706543,6.925
12.0,06-05-2011,1021154.48,0.0,68.4,4.1930000000000005,129.04443329999998,13.736
5.0,30-12-2011,,1.0,,3.129,220.1178226,6.3
7.0,10-02-2012,563460.77,1.0,18.79,3.103,196.9195056,8.256
14.0,10-02-2012,2077256.24,1.0,37.0,,,8.424
2.0,,1853161.99,0.0,87.7,3.48,214.9296249,
19.0,25-03-2011,1266564.94,0.0,33.26,3.789,133.9587419,7.771
3.0,23-09-2011,365248.94,0.0,80.19,3.467,219.7414914,7.567
18.0,15-04-2011,988157.72,0.0,,3.823,134.2784667,8.975
4.0,24-06-2011,2008344.92,0.0,81.85,3.57,129.0663,5.9460000000000015
5.0,11-11-2011,311906.7,0.0,60.71,3.297,218.5699621,6.3
18.0,27-04-2012,961186.23,0.0,50.43,4.023,137.9781333,8.304
16.0,14-09-2012,526525.16,0.0,,3.659,198.1267184,6.061
1.0,,1661767.33,1.0,,3.73,222.4390153,6.908
7.0,26-08-2011,629994.47,,57.6,3.485,194.3796374,8.622
1.0,12-02-2010,1641957.44,1.0,38.51,2.548,211.24216980000003,8.106
2.0,24-02-2012,1861802.7,0.0,54.63,3.555,220.275944,7.057
5.0,30-07-2010,268929.03,0.0,82.46,2.64,211.9270006,6.496
19.0,02-07-2010,1549018.68,0.0,66.25,2.958,132.5218667,8.099
1.0,05-08-2011,1624383.75,,91.65,3.684,215.544618,7.9620000000000015
16.0,30-03-2012,485095.41,0.0,48.29,3.75,197.4133259,6.162000000000001
13.0,01-06-2012,2035431.39,0.0,61.11,3.788,130.95922579999998,5.965
2.0,12-11-2010,1916812.74,0.0,59.69,2.728,211.6608975,8.163
9.0,25-06-2010,509263.28,0.0,85.02,2.653,214.8965756,
14.0,25-03-2011,1879451.23,,41.76,3.625,184.9943679,8.549
10.0,06-07-2012,1805999.79,0.0,86.87,3.666,130.7196333,7.17
13.0,23-09-2011,1847430.96,0.0,63.6,3.648,129.5183333,6.877000000000002
8.0,27-08-2010,888816.78,0.0,74.92,2.619,214.9362793,6.315
4.0,07-01-2011,,0.0,,2.98,127.1917742,6.51
6.0,30-07-2010,1532308.78,0.0,,2.64,212.8944846,6.973
14.0,17-02-2012,2020550.99,0.0,36.85,3.695,189.8424834,8.424
14.0,06-05-2011,2095599.93,0.0,,4.046,185.9374378,8.521
10.0,02-03-2012,1990371.02,0.0,57.62,3.882,130.6457931,7.545
12.0,17-12-2010,1295605.35,0.0,52.77,3.236,126.8794839,14.313
5.0,19-10-2012,313358.15,0.0,69.17,3.594,224.0192873,5.4220000000000015
4.0,16-12-2011,2771397.17,0.0,36.44,3.149,129.8980645,5.143
10.0,,1714309.9,,43.43,3.287,127.1917742,8.744
18.0,06-08-2010,1166117.85,0.0,73.67,2.792,132.6141935,9.342
3.0,05-02-2010,461622.22,0.0,45.71,2.572,214.4248812,7.3679999999999986
12.0,12-08-2011,955913.68,0.0,91.04,3.701,129.2015806,13.503
20.0,26-03-2010,,0.0,50.49,2.854,204.201755,8.187000000000001
18.0,17-12-2010,1588430.71,0.0,27.4,3.139,,9.331
20.0,07-09-2012,,1.0,76.36,3.911,215.21895730000003,
13.0,10-12-2010,2461468.35,0.0,36.78,2.817,126.7934,7.795
1.0,27-08-2010,1449142.92,,85.22,2.619,211.5673056,7.787000000000001
1.0,19-10-2012,1508068.77,0.0,67.97,3.594,223.4257233,
20.0,25-06-2010,1973135.87,0.0,75.17,2.8080000000000003,204.5675459,7.856
15.0,16-03-2012,570611.23,0.0,47.42,4.021,137.5843871,7.943
3.0,29-07-2011,,0.0,88.07,3.682,,7.567
1.0,18-11-2011,1539483.7,0.0,62.25,3.3080000000000003,218.2205088,7.866
20.0,24-09-2010,1789687.65,0.0,69.37,,,7.527
9.0,19-11-2010,519823.3,0.0,49.96,2.7710000000000004,215.43728540000004,6.56
5.0,,359206.21,0.0,,3.63,221.4342146,5.943
11.0,,1569607.94,0.0,52.77,3.51,223.9170153,6.832999999999998
15.0,,607475.44,0.0,79.97,3.972,135.8738387,7.806
8.0,03-09-2010,,0.0,76.14,2.577,214.894576,6.315
2.0,07-01-2011,1758050.79,0.0,44.69,2.9760000000000004,211.0648881,8.027999999999999
17.0,,986922.62,0.0,,3.793,131.03754840000002,6.235
3.0,11-05-2012,431985.36,0.0,75.19,3.688,225.2351496,6.664
20.0,,2045837.55,0.0,39.79,3.739,213.4725116,6.961
2.0,,1797732.56,0.0,76.42,3.786,215.1544822,7.931
9.0,09-07-2010,485389.15,,78.51,2.642,214.6564301,6.442
17.0,,1046782.52,0.0,68.91,3.63,,5.936
3.0,,384200.69,0.0,,2.667,214.7027646,
12.0,27-05-2011,964332.51,0.0,,4.087,129.0623548,13.736
14.0,15-07-2011,1953544.76,0.0,78.47,3.76,186.1399808,8.625
1.0,14-05-2010,1494251.5,0.0,74.78,2.854,210.3374261,7.808
8.0,12-03-2010,860336.16,0.0,49.76,,214.7492449,6.299
5.0,30-04-2010,298697.84,0.0,67.53,,210.939388,
10.0,25-06-2010,1768172.31,0.0,90.32,,126.1266,9.524
13.0,02-07-2010,2018314.71,0.0,78.82,2.814,126.1392,7.951
3.0,18-06-2010,364076.85,0.0,83.52,2.637,214.7858259,7.343
2.0,06-01-2012,1799520.14,0.0,46.75,,219.355063,7.057
18.0,,1087051.26,0.0,69.75,3.815,135.4468,8.89
4.0,10-12-2010,2302504.86,0.0,42.4,2.86,126.7934,7.127000000000002
3.0,22-06-2012,419497.95,0.0,82.7,3.346,225.3068615,6.664
19.0,30-07-2010,1366395.96,0.0,72.83,2.932,132.5983871,8.099
14.0,26-02-2010,2095591.63,0.0,34.89,,,8.992
8.0,12-02-2010,994801.4,1.0,33.34,2.548,214.62141890000004,6.299
18.0,28-05-2010,1256282.79,0.0,69.12,2.906,132.2939355,
1.0,09-12-2011,,,43.93,3.158,218.9618456,7.866
20.0,31-12-2010,1799737.79,1.0,28.85,3.179,204.6432267,7.484
19.0,22-06-2012,1468350.36,0.0,,3.722,138.1629,8.15
2.0,19-02-2010,2124451.54,0.0,39.69,2.514,210.9451605,
13.0,20-01-2012,1811606.21,0.0,32.71,,130.27922579999998,6.104
11.0,26-11-2010,1757242.51,1.0,69.9,2.735,215.0614025,7.564
15.0,19-02-2010,660838.75,0.0,,2.909,131.637,
7.0,20-04-2012,457340.06,0.0,39.3,3.936,197.7227385,8.09
19.0,13-04-2012,,0.0,44.42,4.187,137.868,8.15
9.0,18-06-2010,513073.87,,82.99,2.637,215.0166484,6.384
14.0,07-01-2011,1864746.1,0.0,34.32,3.193,182.5983058,
8.0,17-09-2010,836707.85,0.0,75.32,2.582,214.8785562,6.315
5.0,29-07-2011,275142.17,0.0,89.42,3.682,216.0464364,6.529
7.0,07-09-2012,597876.55,1.0,57.84,3.596,198.0950484,7.872000000000001
1.0,27-05-2011,1466046.67,0.0,,3.786,215.5037878,7.682
19.0,10-06-2011,1467473.63,0.0,68.26,,134.94254840000002,7.657999999999999
3.0,18-11-2011,398838.97,0.0,63.91,3.3080000000000003,221.6432852,7.197
8.0,22-07-2011,,0.0,85.46,3.651,218.8328475,6.425
16.0,09-07-2010,614253.33,0.0,61.79,2.7110000000000003,189.5231276,6.8679999999999986
13.0,12-08-2011,1970341.38,0.0,75.95,3.606,129.2015806,6.877000000000002
18.0,,1048134.24,0.0,73.25,3.84,138.1857097,8.535
13.0,16-03-2012,2025582.62,0.0,52.5,3.529,130.82619350000002,6.104
17.0,12-11-2010,855459.96,0.0,,2.8310000000000004,126.5461613,
4.0,22-07-2011,2036231.39,0.0,82.84,3.627,129.1507742,5.644
1.0,24-09-2010,,0.0,80.94,,211.5972246,7.787000000000001
6.0,19-10-2012,,0.0,69.68,3.594,225.0501013,5.329
12.0,10-09-2010,903119.03,1.0,83.63,3.044,126.11458059999998,14.18
4.0,08-07-2011,2066541.86,,84.59,3.469,129.1125,5.644
10.0,,1831676.03,0.0,88.44,3.112,126.1283548,9.199
6.0,22-04-2011,1639358.93,0.0,74.24,3.807,217.0146941,6.855
7.0,25-05-2012,532739.77,0.0,50.6,3.804,197.5886046,8.09
3.0,07-01-2011,,0.0,53.35,2.9760000000000004,214.6955104,7.551
5.0,12-11-2010,301827.36,0.0,62.37,,212.5604113,6.768
3.0,07-10-2011,403342.4,0.0,75.54,3.285,,7.197
3.0,04-06-2010,396968.8,0.0,78.53,2.705,214.4958382,7.343
3.0,19-10-2012,424513.08,0.0,73.44,3.594,226.9688442,6.034
14.0,18-06-2010,2248645.59,0.0,72.62,2.78,182.4424199,8.899
7.0,,716388.81,,20.74,2.778,,
17.0,11-06-2010,845252.21,0.0,57.14,2.841,126.1119032,
8.0,12-08-2011,856796.1,0.0,86.05,3.638,219.0075249,
19.0,20-04-2012,1255087.26,0.0,55.2,4.17,137.9230667,8.15
